id;infinitive;time;mood;person;quantity;conjugation
474;viure;condicional;indicatiu;2;singular;viuries
475;viure;condicional;indicatiu;3;singular;viuria
476;viure;condicional;indicatiu;1;plural;viuríem
477;viure;condicional;indicatiu;2;plural;viuríeu
478;viure;condicional;indicatiu;3;plural;viurien
479;viure;participi;;;;viscut
480;viure;gerundi;;;;vivint
481;voler;present;indicatiu;1;singular;vull
482;voler;present;indicatiu;2;singular;vols
483;voler;present;indicatiu;3;singular;vol
484;voler;present;indicatiu;1;plural;volem
485;voler;present;indicatiu;2;plural;voleu
486;voler;present;indicatiu;3;plural;volen
487;voler;present;subjuntiu;1;singular;vulgui
488;voler;present;subjuntiu;2;singular;vulguis
489;voler;present;subjuntiu;3;singular;vulgui
490;voler;present;subjuntiu;1;plural;vulguem
491;voler;present;subjuntiu;2;plural;vulgueu
492;voler;present;subjuntiu;3;plural;vulguin
493;voler;present;imperatiu;2;singular;vulgues
494;voler;present;imperatiu;2;plural;vulgueu
495;voler;imperfet;indicatiu;1;singular;volia
496;voler;imperfet;indicatiu;2;singular;volies
497;voler;imperfet;indicatiu;3;singular;volia
498;voler;imperfet;indicatiu;1;plural;volíem
499;voler;imperfet;indicatiu;2;plural;volíeu
500;voler;imperfet;indicatiu;3;plural;volien
501;voler;imperfet;subjuntiu;1;singular;volgués
502;voler;imperfet;subjuntiu;2;singular;volguessis
503;voler;imperfet;subjuntiu;3;singular;volgués
504;voler;imperfet;subjuntiu;1;plural;volguéssim
505;voler;imperfet;subjuntiu;2;plural;volguéssiu
506;voler;imperfet;subjuntiu;3;plural;volguessin
507;voler;futur;indicatiu;1;singular;voldré
508;voler;futur;indicatiu;2;singular;voldràs
509;voler;futur;indicatiu;3;singular;voldra
510;voler;futur;indicatiu;1;plural;voldrem
511;voler;futur;indicatiu;2;plural;voldreu
512;voler;futur;indicatiu;3;plural;voldran
513;voler;condicional;indicatiu;1;singular;voldria
514;voler;condicional;indicatiu;2;singular;voldries
515;voler;condicional;indicatiu;3;singular;voldria
516;voler;condicional;indicatiu;1;plural;voldríem
517;voler;condicional;indicatiu;2;plural;voldríeu
518;voler;condicional;indicatiu;3;plural;voldrien
519;voler;participi;;;;volgut
520;voler;gerundi;;;;volent
521;prendre;present;indicatiu;1;singular;prenc
522;prendre;present;indicatiu;2;singular;prens
523;prendre;present;indicatiu;3;singular;pren
524;prendre;present;indicatiu;1;plural;prenem
525;prendre;present;indicatiu;2;plural;preneu
526;prendre;present;indicatiu;3;plural;prenen
527;prendre;present;subjuntiu;1;singular;prengui
528;prendre;present;subjuntiu;2;singular;prenguis
529;prendre;present;subjuntiu;3;singular;prengui
530;prendre;present;subjuntiu;1;plural;prenguem
531;prendre;present;subjuntiu;2;plural;prengueu
532;prendre;present;subjuntiu;3;plural;prenguin
533;prendre;present;imperatiu;2;singular;pren
534;prendre;present;imperatiu;2;plural;preneu
535;prendre;imperfet;indicatiu;1;singular;prenia
